Scale,Island,geo,Climate,Codes
L2,Island,All,Arid,21
L2,Island,All,Continental,N/A
L2,Island,All,Polar,90
L2,Island,All,Temperate,"51,63"
L2,Island,All,Tropical,"28,29,42,43,60,61,62,81"
L2,Island,Continental,Arid,N/A
L2,Island,Continental,Continental,N/A
L2,Island,Continental,Polar,N/A
L2,Island,Continental,Temperate,51
L2,Island,Continental,Tropical,"42,43"
L2,Island,Oceanic,Arid,21
L2,Island,Oceanic,Continental,N/A
L2,Island,Oceanic,Polar,90
L2,Island,Oceanic,Temperate,63
L2,Island,Oceanic,Tropical,"28,29,60,61,62,81"
L2,Mainland,,Arid,"20,22,24,27,32,34,35,36,37,50,73,76,77,79"
L2,Mainland,,Continental,"10,14,30,31,71,72,74,75"
L2,Mainland,,Polar,"70,91"
L2,Mainland,,Temperate,"11,12,13,33,38,78,85"
L2,Mainland,,Tropical,"23,25,26,40,41,80,82,83,84"
L2,Both,,Arid,"20,22,24,27,32,34,35,36,37,50,73,76,77,79,21"
L2,Both,,Continental,"10,14,30,31,71,72,74,75"
L2,Both,,Polar,"70,91,90"
L2,Both,,Temperate,"11,12,13,33,38,78,85,51,63"
L2,Both,,Tropical,"23,25,26,40,41,80,82,83,84,28,29,42,43,60,61,62,81"
L3,Island,All,Arid,"ARU,CVI,CNY,MRS,MDR,SEL,ASC,STH,SOC,SCZ,MXI"
L3,Island,All,Continental,"PEI,ATP,KUR,SAK,NFL"
L3,Island,All,Polar,"CRZ,KEG,GNL,HMD,ICE,SVA,SGE,MPE,MAQ,SSA"
L3,Island,All,Temperate,"TAS,JNF,CYP,BAL,COR,FOR,GRB,SAR,CTM,TDC,TAI,KER,GAL,AZO,EAS,NZN,NZS,HAW,JAP,NFK,FAL,NNS,KRI,KZN,EAI,ALU,ASP,DSV,IRE"
L3,Island,All,Tropical,"BAH,BER,CKI,CHH,COO,CUB,XMS,CAY,DOM,FIJ,CGS,LDV,JAM,PHX,SRL,MDG,MAU,NWC,NRU,PHI,PUE,TUA,TUB,SCI,PIT,MRQ,SEY,TON,REU,MDV,ROD,NUE,WAL,SOL,JAW,COM,TRT,OGA,SAM,TUV,VAN,HAI,NLA,GGI,TCI,SUM,AND,WAK,MOL,SUL,LSI,NWG,BIS,BOR,ALD,NCB,SCS,CRL,GIL,HBI,MRN,LEE,VNA,WIN,SWC,LIN,MCI,TOK,CPI,MCS"
L3,Island,Continental,Arid,SOC
L3,Island,Continental,Continental,"PEI,SAK,NFL"
L3,Island,Continental,Polar,"GNL,SVA"
L3,Island,Continental,Temperate,"TAS,CYP,BAL,COR,GRB,SAR,NZN,NZS,JAP,FAL,KRI,EAI,IRE"
L3,Island,Continental,Tropical,"BAH,CHH,SRL,MDG,NWC,SEY,JAW,TRT,TCI,SUM,AND,SUL,LSI,NWG,BIS,BOR,NCB,VNA"
L3,Island,Oceanic,Arid,"ARU,CVI,CNY,MRS,MDR,SEL,ASC,STH,SCZ,MXI"
L3,Island,Oceanic,Continental,"ATP,KUR"
L3,Island,Oceanic,Polar,"CRZ,KEG,HMD,ICE,SGE,MPE,MAQ,SSA"
L3,Island,Oceanic,Temperate,"JNF,FOR,CTM,TDC,TAI,KER,GAL,AZO,EAS,HAW,NFK,NNS,KZN,ALU,ASP,DSV"
L3,Island,Oceanic,Tropical,"BER,CKI,COO,CUB,XMS,CAY,DOM,HAI,FIJ,CGS,LDV,JAM,PHX,MAU,NRU,PHI,PUE,TUA,TUB,SCI,PIT,MRQ,TON,REU,MDV,ROD,NUE,WAL,SOL,COM,OGA,SAM,TUV,VAN,NLA,GGI,WAK,MOL,ALD,SCS,CRL,GIL,HBI,MRN,LEE,WIN,SWC,LIN,MCI,TOK,CPI,MCS"
L3,Mainland,,Arid,"NTA,SOA,BKN,BOT,CHX,DJI,ALG,EGY,ERI,KEN,LBY,MLI,MTN,NAM,NGR,OMA,SAU,SUD,SEN,SOM,SWZ,CHA,TUN,ARI,COL,IDA,MNT,NWM,NEV,UTA,WYO,OFS,ZIM,IRN,MON,AFG,WSA,GAM,QLD,MOR,WAU,UZB,PAK,YEM,IRQ,TKM,KAZ,KUW,CHI,CHN,MXE,MXN,CPP,CPV,TVL,GST,PAL,SIN,CLN,LBS,AGS"
L3,Mainland,,Continental,"BLR,ABT,BRC,LAB,MAN,NBR,NSC,NWT,ONT,QUE,SAS,YUK,FIN,NOR,KHA,RUW,RUC,ALT,IRK,KRA,WSB,BRY,TVA,CTA,SWE,ASK,IOW,MAS,MAI,MIC,MIN,NDA,NEB,NWH,NWY,SDA,VER,WIS,UKR,RUS,RUN,TCS,AMU,RUE,YAK,CHM,KOR,PRM,BLT,KAM"
L3,Mainland,,Polar,"ANT,NUN,CHQ,CHT,KGZ,MAG,TZK,WHM,CLS"
L3,Mainland,,Temperate,"ALB,VIC,BUL,SWI,DEN,GRC,HUN,LES,NET,NEP,POL,POR,ROM,URU,ALA,ARK,CAL,CNT,WDC,DEL,FLA,GEO,ILL,INI,KAN,KTY,LOU,MRY,MSO,MSI,NCA,NWJ,OHI,OKL,ORE,PEN,RHO,SCA,TEN,TEX,VRG,WAS,WVA,NAT,ZAM,PAR,GER,NSW,SPA,ITA,TUR,FRA,MYA,AUT,BGM,SIC,YUG,CZE,CHC,CHS,EHM,TUE,NCS,MXC,AGE,AGW,CLC,BZS,KRY,ASS"
L3,Mainland,,Tropical,"ANG,BUR,BEN,BLZ,BOL,CAF,IVO,CMN,ZAI,CON,CLM,COS,ETH,GAB,GHA,GUI,GNB,EQG,FRG,GUY,LAO,LBR,MOZ,MLW,NGA,NIC,PAN,RWA,SIE,SUR,TOG,THA,TAN,UGA,VEN,BAN,ECU,PER,HON,IND,MLY,VIE,ELS,GUA,CBD,MXG,MXS,MXT,BZC,BZE,BZL,BZN,CAB"
L3,Both,,Arid,"NTA,SOA,BKN,BOT,CHX,DJI,ALG,EGY,ERI,KEN,LBY,MLI,MTN,NAM,NGR,OMA,SAU,SUD,SEN,SOM,SWZ,CHA,TUN,ARI,COL,IDA,MNT,NWM,NEV,UTA,WYO,OFS,ZIM,IRN,MON,AFG,WSA,GAM,QLD,MOR,WAU,UZB,PAK,YEM,IRQ,TKM,KAZ,KUW,CHI,CHN,MXE,MXN,CPP,CPV,TVL,GST,PAL,SIN,CLN,LBS,AGS,ARU,CVI,CNY,MRS,MDR,SEL,ASC,STH,SOC,SCZ,MXI"
L3,Both,,Continental,"BLR,ABT,BRC,LAB,MAN,NBR,NSC,NWT,ONT,QUE,SAS,YUK,FIN,NOR,KHA,RUW,RUC,ALT,IRK,KRA,WSB,BRY,TVA,CTA,SWE,ASK,IOW,MAS,MAI,MIC,MIN,NDA,NEB,NWH,NWY,SDA,VER,WIS,UKR,RUS,RUN,TCS,AMU,RUE,YAK,CHM,KOR,PRM,BLT,KAM,PEI,ATP,KUR,SAK,NFL"
L3,Both,,Polar,"ANT,NUN,CHQ,CHT,KGZ,MAG,TZK,WHM,CLS,CRZ,KEG,GNL,HMD,ICE,SVA,SGE,MPE,MAQ,SSA"
L3,Both,,Temperate,"ALB,VIC,BUL,SWI,DEN,GRC,HUN,LES,NET,NEP,POL,POR,ROM,URU,ALA,ARK,CAL,CNT,WDC,DEL,FLA,GEO,ILL,INI,KAN,KTY,LOU,MRY,MSO,MSI,NCA,NWJ,OHI,OKL,ORE,PEN,RHO,SCA,TEN,TEX,VRG,WAS,WVA,NAT,ZAM,PAR,GER,NSW,SPA,ITA,TUR,FRA,MYA,AUT,BGM,SIC,YUG,CZE,CHC,CHS,EHM,TUE,NCS,MXC,AGE,AGW,CLC,BZS,KRY,TAS,JNF,CYP,BAL,COR,FOR,GRB,SAR,CTM,TDC,TAI,KER,GAL,AZO,EAS,NZN,NZS,HAW,JAP,NFK,FAL,NNS,KRI,KZN,EAI,ALU,ASP,DSV,ASS,IRE"
L3,Both,,Tropical,"ANG,BUR,BEN,BLZ,BOL,CAF,IVO,CMN,ZAI,CON,CLM,COS,ETH,GAB,GHA,GUI,GNB,EQG,FRG,GUY,LAO,LBR,MOZ,MLW,NGA,NIC,PAN,RWA,SIE,SUR,TOG,THA,TAN,UGA,VEN,BAN,ECU,PER,HON,IND,MLY,VIE,ELS,GUA,CBD,MXG,MXS,MXT,BZC,BZE,BZL,BZN,CAB,BAH,BER,CKI,CHH,COO,CUB,XMS,CAY,DOM,FIJ,CGS,LDV,JAM,PHX,SRL,MDG,MAU,NWC,NRU,PHI,PUE,TUA,TUB,SCI,PIT,MRQ,SEY,TON,REU,MDV,ROD,NUE,WAL,SOL,JAW,COM,TRT,OGA,SAM,TUV,VAN,HAI,NLA,GGI,TCI,SUM,AND,WAK,MOL,SUL,LSI,NWG,BIS,BOR,ALD,NCB,SCS,CRL,GIL,HBI,MRN,LEE,VNA,WIN,SWC,LIN,MCI,TOK,CPI,MCS"
L4,Island,All,Arid,N/A
L4,Island,All,Continental,"NFL-NE,NFL-SP,JAP-HK"
L4,Island,All,Polar,AGS-TF
L4,Island,All,Temperate,"IRE-NI,WIN-GR,IRE-IR,SIC-SI,FRA-CI,MXI-RG,SIC-MA,NFK-NI,HAW-HI,HAI-NI,JAP-HN,JAP-KY,JAP-SH,NFK-LH"
L4,Island,All,Tropical,"LEE-AG,SAM-AS,TOK-SW,LEE-AB,WAU-AC,QLD-CS,NLA-BO,LEE-NL,LEE-SM,WIN-BA,TOK-MA,COM-CO,NLA-CU,WIN-DO,CPI-CL,LEE-GU,MRN-GU,HAI-HA,LIN-KI,LEE-SK,WIN-SL,MRN-NM,LEE-MO,WIN-MA,MLY-SI,HAW-JI,LEE-VI,WIN-SV,LEE-BV,SAM-WS,COM-MA,CRL-MF,CRL-PA,BOR-SB,NWG-PN,NWG-IJ,LSI-ET,BZE-FN,CPI-CO,BOR-SR,BOR-BR,HAW-MI,TOK-TO,LSI-LS,AND-AN"
L4,Island,Continental,Arid,N/A
L4,Island,Continental,Continental,"NFL-NE,NFL-SP,JAP-HK"
L4,Island,Continental,Polar,AGS-TF
L4,Island,Continental,Temperate,"IRE-NI,IRE-IR,SIC-SI,FRA-CI,SIC-MA,JAP-HN,JAP-KY,JAP-SH"
L4,Island,Continental,Tropical,"WAU-AC,QLD-CS,MLY-SI,BOR-SB,NWG-PN,NWG-IJ,LSI-ET,BOR-SR,BOR-BR,LSI-LS,AND-AN"
L4,Island,Oceanic,Arid,N/A
L4,Island,Oceanic,Continental,N/A
L4,Island,Oceanic,Polar,N/A
L4,Island,Oceanic,Temperate,"WIN-GR,MXI-RG,NFK-NI,HAW-HI,NFK-LH,HAI-NI"
L4,Island,Oceanic,Tropical,"LEE-AG,SAM-AS,TOK-SW,LEE-AB,NLA-BO,LEE-NL,LEE-SM,WIN-BA,TOK-MA,COM-CO,NLA-CU,WIN-DO,CPI-CL,LEE-GU,MRN-GU,LIN-KI,LEE-SK,WIN-SL,MRN-NM,LEE-MO,WIN-MA,HAW-JI,LEE-VI,WIN-SV,LEE-BV,SAM-WS,COM-MA,CRL-MF,CRL-PA,BZE-FN,CPI-CO,HAW-MI,TOK-TO,HAI-HA"
L4,Mainland,,Arid,"AGS-CB,AGE-LP,AGW-LR,AGW-ME,AGS-RN,AGS-SC,AGW-SJ,QLD-QU,WAU-WA,BZE-BA,BZE-PE,CLN-AN,CLN-TA,CLC-CO,CLN-AT,CHN-BJ,CHN-TJ,CHN-HB,CHN-SX,CHI-NM,CHN-SA,CHN-GS,CHI-NX,IND-DE,IND-GU,IND-HA,IND-KT,IND-PU,IND-RA,MOR-MO,MXE-AG,MXE-CU,MXE-CO,MXS-CL,MXE-GU,MXS-JA,MXS-MI,MXC-MO,MXE-NL,MXE-QU,MXN-SI,MXE-SL,MXN-SO,MXE-TA,MXE-ZA,GST-QA,CPP-EC,TVL-NP,CPP-NC,TVL-NW,CPP-WC,GST-UA,MXN-BC,MXN-BS,PAL-JO,LBS-SY,TCS-AZ,GST-BA"
L4,Mainland,,Continental,"CHM-LN,CHM-JL,CHM-HJ,BLT-ES,TCS-GR,BLT-LI,BLT-LA,KOR-NK,CZE-SK,UKR-UK,TCS-AR"
L4,Mainland,,Polar,"AGW-CA,AGW-JU,CLS-MG,WHM-JK,EHM-SI"
L4,Mainland,,Temperate,"AGE-BA,AGE-CH,AGE-CD,AGE-CN,AGE-DF,AGE-ER,AGE-FO,AGE-MI,AGS-NE,AGW-SA,AGW-SE,AGE-SF,AGW-SL,AGW-TU,NSW-NS,BGM-BE,BZS-PR,BZS-RS,BZS-SC,CLS-AI,CLC-BI,CLC-OH,CLC-SA,CLS-LL,CLC-MA,CLC-LA,CLC-VA,CHS-SH,CHS-JS,CHS-ZJ,CHS-AH,CHS-FJ,CHS-JX,CHN-SD,CHS-HE,CHC-HU,CHS-HN,CHS-GD,CHS-GX,CHC-CQ,CHC-SC,CHC-GZ,CHC-YN,CHS-HK,CHS-MA,CZE-CZ,SPA-SP,FRA-FR,YUG-CR,EHM-AP,ASS-AS,IND-BI,IND-CH,WHM-HP,IND-JK,ASS-MA,IND-MP,ASS-ME,ASS-MI,ASS-NA,ASS-TR,WHM-UT,IND-UP,PAL-IS,ITA-IT,KOR-SK,AUT-LI,BGM-LU,UKR-MO,MXC-DF,MXE-DU,MXE-HI,MXC-ME,MXC-PU,MXC-TL,YUG-MA,YUG-SL,TVL-GA,TVL-MP,AUT-AU,LBS-LB,YUG-BH,EHM-BH,YUG-MN,YUG-SE,CZE-SL,SPA-GI,FRA-MO,ITA-SM,SPA-AN"
L4,Mainland,,Tropical,"BZN-AC,BZE-AL,BZN-AM,BZN-AP,BZE-CE,BZC-DF,BZL-ES,BZC-GO,BZE-MA,BZL-MG,BZC-MS,BZC-MT,BZN-PA,BZE-PB,BZE-PI,BZL-RJ,BZE-RN,BZN-RO,BZN-RM,BZE-SE,BZL-SP,BZN-TO,IND-AP,IND-CT,IND-GO,IND-KE,IND-MR,IND-OR,IND-TN,IND-WB,MXT-CA,MXT-CI,MXS-GR,MXS-NA,MXS-OA,MXT-QR,MXT-TB,MXG-VC,MXT-YU,MLY-PM,IND-DD,IND-DM,IND-PO"
L4,Both,,Arid,"AGS-CB,AGE-LP,AGW-LR,AGW-ME,AGS-RN,AGS-SC,AGW-SJ,QLD-QU,WAU-WA,BZE-BA,BZE-PE,CLN-AN,CLN-TA,CLC-CO,CLN-AT,CHN-BJ,CHN-TJ,CHN-HB,CHN-SX,CHI-NM,CHN-SA,CHN-GS,CHI-NX,IND-DE,IND-GU,IND-HA,IND-KT,IND-PU,IND-RA,MOR-MO,MXE-AG,MXE-CU,MXE-CO,MXS-CL,MXE-GU,MXS-JA,MXS-MI,MXC-MO,MXE-NL,MXE-QU,MXN-SI,MXE-SL,MXN-SO,MXE-TA,MXE-ZA,GST-QA,CPP-EC,TVL-NP,CPP-NC,TVL-NW,CPP-WC,GST-UA,MXN-BC,MXN-BS,PAL-JO,LBS-SY,TCS-AZ,GST-BA"
L4,Both,,Continental,"CHM-LN,CHM-JL,CHM-HJ,BLT-ES,TCS-GR,BLT-LI,BLT-LA,KOR-NK,CZE-SK,UKR-UK,TCS-AR,NFL-NE,NFL-SP,JAP-HK"
L4,Both,,Polar,"AGW-CA,AGW-JU,CLS-MG,WHM-JK,EHM-SI,AGS-TF"
L4,Both,,Temperate,"AGE-BA,AGE-CH,AGE-CD,AGE-CN,AGE-DF,AGE-ER,AGE-FO,AGE-MI,AGS-NE,AGW-SA,AGW-SE,AGE-SF,AGW-SL,AGW-TU,NSW-NS,BGM-BE,BZS-PR,BZS-RS,BZS-SC,CLS-AI,CLC-BI,CLC-OH,CLC-SA,CLS-LL,CLC-MA,CLC-LA,CLC-VA,CHS-SH,CHS-JS,CHS-ZJ,CHS-AH,CHS-FJ,CHS-JX,CHN-SD,CHS-HE,CHC-HU,CHS-HN,CHS-GD,CHS-GX,CHC-CQ,CHC-SC,CHC-GZ,CHC-YN,CHS-HK,CHS-MA,CZE-CZ,SPA-SP,FRA-FR,YUG-CR,EHM-AP,ASS-AS,IND-BI,IND-CH,WHM-HP,IND-JK,ASS-MA,IND-MP,ASS-ME,ASS-MI,ASS-NA,ASS-TR,WHM-UT,IND-UP,PAL-IS,ITA-IT,KOR-SK,AUT-LI,BGM-LU,UKR-MO,MXC-DF,MXE-DU,MXE-HI,MXC-ME,MXC-PU,MXC-TL,YUG-MA,YUG-SL,TVL-GA,TVL-MP,AUT-AU,LBS-LB,YUG-BH,EHM-BH,YUG-MN,YUG-SE,CZE-SL,SPA-GI,FRA-MO,ITA-SM,SPA-AN,IRE-NI,WIN-GR,IRE-IR,SIC-SI,FRA-CI,MXI-RG,SIC-MA,NFK-NI,HAW-HI,HAI-NI,JAP-HN,JAP-KY,JAP-SH,NFK-LH"
L4,Both,,Tropical,"BZN-AC,BZE-AL,BZN-AM,BZN-AP,BZE-CE,BZC-DF,BZL-ES,BZC-GO,BZE-MA,BZL-MG,BZC-MS,BZC-MT,BZN-PA,BZE-PB,BZE-PI,BZL-RJ,BZE-RN,BZN-RO,BZN-RM,BZE-SE,BZL-SP,BZN-TO,IND-AP,IND-CT,IND-GO,IND-KE,IND-MR,IND-OR,IND-TN,IND-WB,MXT-CA,MXT-CI,MXS-GR,MXS-NA,MXS-OA,MXT-QR,MXT-TB,MXG-VC,MXT-YU,MLY-PM,IND-DD,IND-DM,IND-PO,LEE-AG,SAM-AS,TOK-SW,LEE-AB,WAU-AC,QLD-CS,NLA-BO,LEE-NL,LEE-SM,WIN-BA,TOK-MA,COM-CO,NLA-CU,WIN-DO,CPI-CL,LEE-GU,MRN-GU,HAI-HA,LIN-KI,LEE-SK,WIN-SL,MRN-NM,LEE-MO,WIN-MA,MLY-SI,HAW-JI,LEE-VI,WIN-SV,LEE-BV,SAM-WS,COM-MA,CRL-MF,CRL-PA,BOR-SB,NWG-PN,NWG-IJ,LSI-ET,BZE-FN,CPI-CO,BOR-SR,BOR-BR,HAW-MI,TOK-TO,LSI-LS,AND-AN"
